"ZZ Top","Beer Drinkers And Hell Raisers","Em7,E,D,A5,A6,B5,B6,Em7,Em7,E,D,A5,A6,A5,A6,Em7,B5,B6,B5,B6,A5,A6,A5,A6,Em7"
"Neil Young","Harvest Moon","G,C,C,G,C,G,C,C,G,C,G,C,C,G,C,G,C,G,G,Bm,C,Am,G,Bm,C,Am,Em,G,C,Am,G,Bm,C,Am,Em,G,C,Am,G,F,C,G,F,C,G,F,G,D,G,F,D,D,Bb,F,Am,Gm,C,D,Bb,F,Am,Gm,C,D,Bb,F,Am,Gm,C,D,F,C,F,G,D,D,F,C,F,G,D,D,F,C,F,G,D,D,Bb,F,Am,Gm,C,F,G,D,A,A,F,F,D,D,D,Bb,A,Am,Gm,Em,C,F,G,F,D,B,B,B,B,B,B,B,B,B,B,D,A,Bm7,A,Em,A,G,G,G,G,Em,A,Em,A,D,Dm,Dm,Dm7,Bb,C,Dm,Dm,Bb,Bb,C,C,A,Dm,Dm7,Bb,C,Dm,Dm7,Bb,C,Dm,Dm,Bb,Bb,C,C,A,D,Dm7,Bb,C,D,Dm7,Bb,C,D,Dm7,Bb,C,Dm7,Bb,Bb5,C5,A5,Dm,D,Dm7,Bb,C,Bb5,C5,A5,Dm,A,F#m,D,D,A,F#m,D,D,A,F#m,D,D,A,F#m,D,D,A,F#m,D,D,A,F#m,D,D,A,F#m,Em,A,F#m,D,A,F#m,A,F#m,A,F#m,D,E,A,F#m,D,D,A,F#m,D,D,A,F#m,A,F#m,A,F#m,D,E,A,A,F#m,Em,A,F#m,D,A,F#m,A,F#m,A,F#m,D,E,A,Em,D,Bm,A,F#m,A,F#m,A,F#m,D,E,Bb,Dm,F,Bb,C,Em,C,G,C,C,Am,F,G,C,Bb,Dm,F,Bb,F,D#,Gm,F,Bb,Gm,D#,F,Bb,C,Em,C,G,C,G,C,F,C,Am,G,C,Am,F,C,Bb,F,Bb,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em,C,D,G,G,B,C,D,C,B,A,B,C,B,A,C,D,C,D,C,D,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em,C,C,G,Em7,Csus2,G,C,Cmaj9,C,Dsus4,Em7,Cmaj9,D,C(add9),Em7,Cmaj9,D,Em7,Cmaj9,D,Em7,Cmaj9,D,Em7,Cmaj9,D,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,Em7,Cmaj9,D,C(add9),Em7,Cmaj9,D,C,Em7,Cmaj9,D,Em7,Cmaj9,D,Em7,Cmaj9,Em7,Cmaj9,D,Em7,Cmaj9,D,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,Em7,Cmaj9,D,Em7,Cmaj9,Em7,Cmaj9,D,Em7,Cmaj9,D,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G,Dsus4,G"
"Neil Young","Unplugged","G,C,G,G,C,G,C,G,C,G,D,C,G,G,C,G,G,C,G,C,C,Am,C,D,G,D,Am,C,G,G,C,G,C,G,C,Am,C,G,Bm,D,Am,C,G,D,Am,C,G,G,C,G,C,G,C,C,G,D,C,G,D,C,G,D,Am,C,G,E,E,E,E,E,E,A,E,D,A,E,D,G,D,D,D,A,D,A,D,E,E,A,E,G,D,A,E,E,G,D,G,D,E,G,G,D,E,D,D,Dsus4,D,D,Em,D,A,C,G,D,A,C,G,D,D,Em,D,D,D,Em,D,A,C,G,D,D,D,Em,D,A,C,G,D,A,C,G,D,D,A,C,G,D,F,C,Bb,C,F,Bb,C,F,C,Bb,C,F,Bb,C,F,C,Bb,C,F,C,Bb,C,Bb,F,Bb,F,Bb,Dm,C,F,F,C,Bb,C,F,C,Bb,C,F,C,Bb,C,A,F,C,Bb,C,F,F,C,Bb,C,Am,G,F,Em,Am,G,F,Em,G,Am,G,F,Em,G,C,G,F,G,C,G,F,G,C,G,F,G,F,Am,G,F,Em,G,D,Em7,Gm,Bb,C,F,Esus4,E,D,Em7,Gm,Bb,C,F,Esus4,E,Em7,Gm,Bb,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,G,D,G,D,G,D,G,D,G,A,Em,A,D,D,Dmaj7,A,Bm7,A,D,C,C,C,Am,Dm7,Fm7,C,Am,F,Fm7,C,C,E,F,G,E,F,G,E,F,E,G,G,C,C,G,C,G,C,C,G,C,G,C,C,G,C,G,C,G,E,D,A,D,E,D,A,G,E,D,A,D,Bm,G,C,Em,Am,G,Bm,G,D,G,D,Bm,G,A,D,G,D,Bm,A,D,D,G,D,Bm,G,A,D,G,D,Bm,A,D,G,Bb,D,Dsus4,D,D,Dsus4,D,Dsus4,G,Bm,C,Am,G,Bm,C,Am,Em,G,C,Am,G,Bm,C,Am,Em,G,C,Am,G,F,C,G,F,C,G"
"XTC","Ball And Chain","C,C7sus4,C,C7sus4,C,C7sus4,Bb,F,C,G5,D,F,C,G5,D,F,C,G5,D,F,C,G5,D,F,G5,D,F,C"
"X","Los Angeles","E,C,D,G,A,A,G,D,C,A,G,D,C,A,G,C,A,G,C,A,G,C,A,G,C,A,G,C,A,G,C,A,C,Bb,C,Bb,C,Bb,C,Bb,C,Bb,C,Bb,D,E,D,E,D,E,D,E,D,E,E,C,D,G,A,A,G,D,C,A,G,D,C,A,G,C,A,G,C,A,G,C,A,G,A,G,C,A,G,C,A,E,C,D,G,A"
"X","The Hungry Wolf","C,B,B,C,B,C,B,D,E,C,B,C,B,C,B,D,E,E,C,E,C,B,C,B,G,B,E,C,B,C,B,C,B,D,E"
"Ween","Roses Are Free","F,G,G#,A,A#"
"Robbie Williams","Angels","E,E,A,C#m,B,E,A,C#m,B,A,C#m,A,D,A,E,D,A,E,B,C#m,A,E,B,C#m,A,G#m,F#m,D,A,E,E,A,C#m,B,E,A,C#m,B,D,A,E,D,A,E,Bm,A,E,B,C#m,A,E,B,C#m,A,G#m,F#m,D,A,E"
"The Wallflowers","The Difference","E,A,E,A,B,E,C#,B,E,A,E,A,B,E,C#,B,E,A,E,A,B,E,C#,B,A,E,C#,B,A,E,B,A,G#,F#,B,C#,B,A,E,C#,B,A,E,B,C#,B,E"
"Westlife","I Lay My Love On You","Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,C,F,G,D,A,Bm,A,D,A,Em,G,A,D,Am,Dm,G,C,Em,Am,Dm,G,C,G,Am,C,F,G,D,A,Bm,A,D,A,Em,G,A,D,Em,Em,D,D,Em,Em,D,D,D,G,A,D,G,Bm,D,G,A,E,B,A,E,B,F#m,A,B,E"
"U2","With Or Without You","D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G"
